sample_idx,warmup,tool_name,op,arg_key,t_llm_to_mcp_ms,t_mcp_to_kit_ms,t_kit_handler_ms,t_total_ms,return_dominated,failed,note
0,false,isaac-sim:get_scene_info,info,,,,,,false,false,
1,false,isaac-sim:list_prims,info,root_path=/World,,,,,false,false,
2,false,isaac-sim:execute_script,exec,timeline.stop + RemovePrim,,,,,false,false,
3,false,isaac-sim:create_object,mutate,Cube /World/Table3,,,,,false,false,
4,false,isaac-sim:apply_material,mutate,,,,,,false,false,
5,false,isaac-sim:execute_script,exec,reset cube translate,,,,,false,false,
6,false,isaac-sim:create_object,mutate,Cube /World/BlueCube physics=true,,,,,false,false,
7,false,isaac-sim:create_material,mutate,,,,,,false,false,
8,false,isaac-sim:apply_material,mutate,,,,,,false,false,
9,false,create_file,exec,client-side,,,,,false,false,
10,false,bash_tool,exec,base64-encode,,,,,false,false,"client-side"
11,false,isaac-sim:execute_script,exec,write to /home/sing/...,,,,,false,false,
12,false,(not-executed),mutate,edit_action_graph,,,,,false,false,"chat ended before this"
13,false,(not-executed),mutate,play_simulation,,,,,false,false,"chat ended before this"
14,false,(not-executed),exec,step_simulation,,,,,false,false,"chat ended before this"
